연번,업체명,이메일 주소,대표자(익명),벤처확인유형,지역,간략주소,업종분류(기보),업종명(11차),주생산품,벤처유효시작일,벤처유효종료일,벤처확인기관,신규/재확인
581,주식회사 베리홀딩스,,김**,벤처투자유형,경기,경기도 김포시,정보처리S/W,응용 소프트웨어 개발 및 공급업,AI Products,20260224,20290223,벤처기업확인기관,신규
582,주식회사 네오리소스,,이**,벤처투자유형,울산,울산광역시 중구,제조업,반도체 제조용 기계 제조업,반도체 CMP 공정용 슬러리 리사이클링 장비 제조,20260224,20290223,벤처기업확인기관,신규
583,주식회사 이볼브,,신**,벤처투자유형,서울,서울특별시 강남구,정보처리S/W,응용 소프트웨어 개발 및 공급업,셀데이 (AI 기반 세일즈 자동화 솔루션),20260224,20290223,벤처기업확인기관,신규
584,주식회사 몰더코리아,,최**,벤처투자유형,서울,서울특별시 성동구,정보처리S/W,응용 소프트웨어 개발 및 공급업,AI SaaS,20260224,20290223,벤처기업확인기관,신규
585,주식회사 태향이엔지,,김**,혁신성장유형,대구,대구광역시 달서구,제조업,금속 성형기계 제조업,"금형, 포밍기계 등",20260212,20290211,벤처기업확인기관,신규
586,폼코리아(Form Korea),,예**,혁신성장유형,인천,인천광역시 부평구,제조업,그 외 기타 플라스틱 제품 제조업,"블랙박스,생활용품,의료기기,IT제품",20260212,20290211,벤처기업확인기관,신규
587,초월,,최**,혁신성장유형,서울,서울특별시 마포구,제조업,탁주 및 약주 제조업,막걸리,20260212,20290211,벤처기업확인기관,신규
588,주식회사제이케이물산,,김**,혁신성장유형,전북,전북특별자치도 전주시,제조업,자전거 및 환자용 차량 제조업,전동킥보드,20260212,20290211,벤처기업확인기관,신규
589,주식회사 오킴스메디칼,,오**,혁신성장유형,서울,서울특별시 강남구,제조업,그 외 기타 의료용품 및 의약 관련제품 제조업,"병,의원 컨설팅",20260211,20290210,벤처기업확인기관,신규
590,이-트랜텍,,이**,혁신성장유형,대구,대구광역시 남구,제조업,전자부품 실장기판 제조업,"인쇄회로기판 제조, 전자부품, 소프트웨어 개발",20260211,20290210,벤처기업확인기관,신규
591,주식회사 이스트투웨스트,,구**,혁신성장유형,대구,대구광역시 달서구,정보처리S/W,응용 소프트웨어 개발 및 공급업,IoT 시스템,20260211,20290210,벤처기업확인기관,신규
592,주식회사 에어로힐,,임**,혁신성장유형,경남,경남 김해시,제조업,산업용 송풍기 및 배기장치 제조업,"공기청정기 제조,판매/소프트웨어 개발.판매/교육 컨설팅",20260211,20290210,벤처기업확인기관,신규
593,주식회사 아임솔,,한**,혁신성장유형,부산,부산광역시 사상구,제조업,신발 부분품 제조업,CUP INSOLE,20260211,20290210,벤처기업확인기관,신규
594,카타크로노스 주식회사,,차**,벤처투자유형,경기,경기도 수원시,정보처리S/W,응용 소프트웨어 개발 및 공급업,응용 소프트웨어 (C-PAY),20260211,20290210,벤처기업확인기관,신규
595,주식회사 세운마린테크,,강**,혁신성장유형,전남,전라남도 영암군,제조업,암면 및 유사제품 제조업,"조선용 단열재, 매트류 및 부자재 가공업",20260211,20290210,벤처기업확인기관,신규
596,주식회사 에센바이오,,문**,혁신성장유형,부산,부산광역시 사하구,제조업,기타 식품 첨가물 제조업,"식품첨가물, 식품, 건강기능식품 판매 ",20260211,20290210,벤처기업확인기관,신규
597,주식회사 사니케어,,김**,혁신성장유형,경기,경기 성남시,제조업,그 외 기타 의료용 기기 제조업,"그 외 기타 의료용 기기 제조업,가전제품 소매업",20260211,20290210,벤처기업확인기관,신규
598,주식회사 유유이엔지,,홍**,혁신성장유형,충북,충북 음성군,제조업,건설 및 채광용 기계장비 제조업,건설장비,20260211,20290210,벤처기업확인기관,신규
599,리셀파워(주),,강**,혁신성장유형,경기,경기도 고양시,제조업,그 외 기타 전기장비 제조업,"전기자동차 충전기, 충전 장치류 ",20260211,20290210,벤처기업확인기관,신규
600,주식회사 아바닛,,최**,혁신성장유형,경기,경기도 안산시,정보처리S/W,시스템 소프트웨어 개발 및 공급업,소프트웨어,20260211,20290210,벤처기업확인기관,신규
601,주식회사 르시안코리아,,이**,혁신성장유형,충북,충청북도 제천시,제조업,화장품 제조업,화장품,20260211,20290210,벤처기업확인기관,신규
602,주식회사두성텍스타일,,김**,혁신성장유형,경기,경기도 양주시,제조업,섬유제품 기타 정리 및 마무리 가공업,화학섬유염색임가공,20260211,20290210,벤처기업확인기관,신규
603,주식회사 리카,,이**,혁신성장유형,경기,경기도 성남시,제조업,그 외 기타 전자부품 제조업,반려동물용 웨어러블 치료관리 기기 제조 및 판매,20260211,20290210,벤처기업확인기관,신규
604,주식회사 애플젠,,송**,혁신성장유형,서울,서울특별시 영등포구,제조업,기타 가정용 전기기기 제조업,전자식 비데,20260211,20290210,벤처기업확인기관,신규
605,주식회사 오디스젠,,"최**,이**",혁신성장유형,대구,대구광역시 동구,연구개발서비스,의학 및 약학 연구개발업,바이오의약품,20260211,20290210,벤처기업확인기관,신규
606,주식회사 에이스텍,,임**,혁신성장유형,대전,대전광역시 유성구,제조업,그 외 기타 전자부품 제조업,진공펌프 컨트롤러 소자,20260211,20290210,벤처기업확인기관,신규
607,주식회사 사일로텍,,임**,혁신성장유형,인천,인천광역시 서구,정보처리S/W,응용 소프트웨어 개발 및 공급업,온라인 플랫폼 연동 IoT 제어 장비,20260211,20290210,벤처기업확인기관,신규
608,주식회사 이삭이엔씨,,정**,혁신성장유형,경기,경기도 고양시,제조업,기체 펌프 및 압축기 제조업,"Air Jet Mill 장비, 임가공",20260211,20290210,벤처기업확인기관,신규
609,디카모 주식회사,,박**,혁신성장유형,서울,서울특별시 금천구,제조업,비디오 및 기타 영상기기 제조업,매장용 전자가격표시기,20260211,20290210,벤처기업확인기관,신규
610,주식회사 나오테크,,김**,혁신성장유형,경기,경기도 시흥시,제조업,기타 전기 변환장치 제조업,전력변환기(smps)제조,20260211,20290210,벤처기업확인기관,신규
611,주식회사 아임코퍼레이션,,이**,혁신성장유형,서울,서울특별시 양천구,연구개발서비스,전기ㆍ전자공학 연구개발업,AI 반도체 및 응용 서비스,20260211,20290210,벤처기업확인기관,신규
612,유한회사 쌍용기업,,정**,혁신성장유형,전남,전라남도 영암군,제조업,육상 금속 골조 구조재 제조업,철구조물,20260211,20290210,벤처기업확인기관,신규
613,주식회사 젠커넥션,,장**,혁신성장유형,서울,서울특별시 강남구,정보처리S/W,응용 소프트웨어 개발 및 공급업,플랫폼 및 로봇서비스,20260211,20290210,벤처기업확인기관,신규
614,주식회사 엑스앤글러브,,이**,혁신성장유형,경기,경기도 광주시,제조업,기타 운동 및 경기용구 제조업,골프장갑,20260211,20290210,벤처기업확인기관,신규
615,스마트조조주식회사,,조**,혁신성장유형,경기,경기도 안양시,정보처리S/W,응용 소프트웨어 개발 및 공급업,class-jojo,20260211,20290210,벤처기업확인기관,신규
616,주식회사 에스아이글로벌코리아,,김**,혁신성장유형,경기,경기도 남양주시,제조업,빵류 제조업,"불타오르면,파슬리&갈릭바게트칩,프리미엄곡물20,갈릭새우칩",20260211,20290210,벤처기업확인기관,신규
617,주식회사 엠베스티,,황**,벤처투자유형,부산,부산광역시 사하구,연구개발서비스,"물리, 화학 및 생물학 연구개발업","식품원료, 펫푸드, 연구용역",20260211,20290210,벤처기업확인기관,신규
618,주식회사모두의마루,,최**,혁신성장유형,경기,경기도 시흥시,제조업,그 외 기타 일반목적용 기계 제조업,"건축용 절단장치, 집진기, 마루바닥 관련 제품",20260211,20290210,벤처기업확인기관,신규
619,주식회사 엑스테이지원,,고**,혁신성장유형,경기,경기도 성남시,정보처리S/W,응용 소프트웨어 개발 및 공급업,Edge AI 기반 음성인식 소프트웨어 및 관제 플랫폼,20260211,20290210,벤처기업확인기관,신규
620,주식회사 레아비전,,강**,벤처투자유형,경기,경기도 고양시,제조업,비디오 및 기타 영상기기 제조업,멀티미디어학습기기,20260211,20290210,벤처기업확인기관,신규
621,(주)이에스와이,,"양**,여**",혁신성장유형,서울,서울특별시 강남구,제조업,스타킹 및 기타 양말 제조업,필라테스 양말,20260211,20290210,벤처기업확인기관,신규
622,주식회사 에띠씽크,,손**,혁신성장유형,경기,경기도 안산시,정보처리S/W,응용 소프트웨어 개발 및 공급업,AI 솔루션,20260211,20290210,벤처기업확인기관,신규
623,농업회사법인 (주)에이알티,,배**,벤처투자유형,충남,충청남도 논산시,"농,어,임,광업","채소, 화훼 및 과실작물 시설 재배업",농산물,20260211,20290210,벤처기업확인기관,신규
624,주식회사 솜노브릿지,,윤**,벤처투자유형,충북,충청북도 괴산군,연구개발서비스,기타 공학 연구개발업,호흡근운동디바이스,20260211,20290210,벤처기업확인기관,신규
625,주식회사 원더브릿지,,김**,벤처투자유형,인천,인천광역시 연수구,제조업,"근무복, 작업복 및 유사의복 제조업",근무복,20260211,20290210,벤처기업확인기관,신규
626,주식회사 좋은날에,,김**,혁신성장유형,경북,경상북도 안동시,제조업,부직포 및 펠트 제조업,"헴프물티슈, 헴프기저귀, 헴프매트리스커버",20260210,20290209,벤처기업확인기관,신규
627,주식회사 한솔기업,,박**,혁신성장유형,충남,충남 보령시,제조업,레미콘 제조업,"레미콘, 아스콘 등",20260210,20290209,벤처기업확인기관,신규
628,(주)디어메잇,,임**,혁신성장유형,제주,제주 제주시,정보처리S/W,데이터베이스 및 온라인정보 제공업,"데이터베이스 및 온라인 정보 제공업,사료 도매업,무역업,애완용 동물 및 관련용품 소매업,전자상거래 소매업,포털 및 기타 인터넷 정보 매개 서비스업,응용 소",20260210,20290209,벤처기업확인기관,신규
629,에스엘피알티,,배**,혁신성장유형,경북,경북 영천시,제조업,고무패킹류 제조업,"고무 패킹류 제조업,커피 가공업,기타 가공 공작기계 제조업,주형 및 금형 제조업,식품 수출입업",20260210,20290209,벤처기업확인기관,신규
630,스위치 주식회사,,유**,혁신성장유형,대구,대구광역시 동구,정보처리S/W,응용 소프트웨어 개발 및 공급업,소프트웨어 개발,20260210,20290209,벤처기업확인기관,신규
631,메타,,지**,혁신성장유형,경남,경상남도 김해시,제조업,기타 전기 변환장치 제조업,"인버터, SMPS",20260210,20290209,벤처기업확인기관,신규
632,주식회사 엘릭스코어,,우**,혁신성장유형,경기,경기도 평택시,정보처리S/W,응용 소프트웨어 개발 및 공급업,"아퀼렉스, 발루스",20260210,20290209,벤처기업확인기관,신규
633,주식회사 디씨피,,이**,혁신성장유형,인천,인천 연수구,제조업,기타 목재가구 제조업,원목 리빙제품,20260210,20290209,벤처기업확인기관,신규
634,주식회사 더웨이유,,최**,연구개발유형,강원,강원특별자치도 춘천시,정보처리S/W,응용 소프트웨어 개발 및 공급업,연구실 또는 기업간의 기술 거래 소프트웨어,20260210,20290209,벤처기업확인기관,신규
635,발효문화 주식회사,,김**,혁신성장유형,울산,울산 울주군,연구개발서비스,"물리, 화학 및 생물학 연구개발업","발효 및 발효학 , 식품위생학 연구,화장품 제조업,식품용기 및 포장용기,인테리어,화장품 도소매업,전자상거래 소매업,소프트웨어 개발, 동영상 및 비디오물 제",20260210,20290209,벤처기업확인기관,신규
636,주식회사 서안프로텍,,배**,혁신성장유형,강원,강원특별자치도 춘천시,제조업,표면광택제 및 실내가향제 제조업,표면광택제 및 자동차용 세정제,20260210,20290209,벤처기업확인기관,신규
637,(주)덕스 농업회사법인,,임**,혁신성장유형,대전,대전광역시 대덕구,제조업,가금류 가공 및 저장 처리업,"축산물 가공, 오리 제품",20260210,20290209,벤처기업확인기관,신규
638,주식회사 오팔,,박**,혁신성장유형,전북,전북 전주시,정보처리S/W,데이터베이스 및 온라인정보 제공업,데이터 베이스 및 온라인 정보제공업,20260210,20290209,벤처기업확인기관,신규
639,"주식회사 엠디셀 (MDCELL Co, Ltd.)",,유**,혁신성장유형,서울,서울특별시 금천구,제조업,화장품 제조업,"화장품 제조업,그 외 기타 달리 분류되지 않은 제품 제조업,화장품,의료 기기 도매업,상품 종합 도매업,상품 종합 도매업,두피, 모발 프랜차이즈 및 컨설팅,건강",20260210,20290209,벤처기업확인기관,신규
640,주식회사 콜퍼니처,,김**,혁신성장유형,경남,경상남도 김해시,제조업,그 외 기타 나무제품 제조업,"일반가구(붙박이장,신발장,화장대),주방가구(씽크대)",20260210,20290209,벤처기업확인기관,신규
641,에스에스알랩(주),,최**,혁신성장유형,경기,경기도 용인시,제조업,혼성 및 재생 플라스틱 소재 물질 제조업,"재생플라스틱 제품, 의류, 잡화, 문규류 등",20260210,20290209,벤처기업확인기관,신규
642,주식회사 슈퍼스톰스튜디오,,김**,벤처투자유형,서울,서울특별시 구로구,정보처리S/W,유선 온라인 게임 소프트웨어 개발 및 공급업,소프트웨어,20260210,20290209,벤처기업확인기관,신규
643,유한회사대동,,김**,혁신성장유형,전남,전라남도 순천시,제조업,기체 여과기 제조업,산업용필터,20260210,20290209,벤처기업확인기관,신규
644,(주)한국정공,,권**,혁신성장유형,경기,경기도 안성시,제조업,자동차 차체용 신품 부품 제조업,자동차 내판외판도어 판넬,20260210,20290209,벤처기업확인기관,신규
645,준앤준기술,,최**,혁신성장유형,경기,경기도 오산시,제조업,"용기 세척, 포장 및 충전기 제조업",멀티 전기분해 세정기 / 전기분해 전용 세척제,20260210,20290209,벤처기업확인기관,신규
646,주식회사 동진글로비스,,김**,혁신성장유형,경기,경기도 안양시,제조업,"직물, 편조원단 및 의복류 염색 가공업","의류, 프린트원단",20260210,20290209,벤처기업확인기관,신규
647,(주)시큐어월,,우**,혁신성장유형,부산,부산 해운대구,정보처리S/W,컴퓨터시스템 통합 자문 및 구축 서비스업,컴퓨터및주변기기,20260210,20290209,벤처기업확인기관,신규
648,주)위즈 돔 하우스,,오**,혁신성장유형,전북,전북특별자치도 완주군,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,돔하우스,20260210,20290209,벤처기업확인기관,신규
649,주식회사 다온푸드,,박**,혁신성장유형,경기,경기도 김포시,제조업,수산동물 냉동품 제조업,"촉촉 오징어 구이, 고등어 구이 등",20260210,20290209,벤처기업확인기관,신규
650,"주식회사 스마트스테이랩스(SmartStay Labs CO., Ltd)",,"설**,길**",혁신성장유형,인천,인천광역시 연수구,정보처리S/W,데이터베이스 및 온라인정보 제공업,글로벌 커뮤니티 국내 숙박 플랫폼 ,20260210,20290209,벤처기업확인기관,신규
651,정인글로벌테크 주식회사,,이**,혁신성장유형,경북,경상북도 울진군,제조업,기타 구조용 금속제품 제조업,"스마트부스, 논슬립, 분쇄기",20260210,20290209,벤처기업확인기관,신규
652,디에스지 주식회사,,김**,혁신성장유형,부산,부산 해운대구,정보처리S/W,응용 소프트웨어 개발 및 공급업,네트워크 상 가전기기 범용 제어 기반 지능형 냉난방 설비 통합 제어 시스템,20260210,20290209,벤처기업확인기관,신규
653,주식회사 위즈컴퍼니,,류**,혁신성장유형,광주,광주광역시 광산구,정보처리S/W,컴퓨터 프로그래밍 서비스업,"소프트웨어, 웹솔루션",20260210,20290209,벤처기업확인기관,신규
654,주식회사 소마,,이**,혁신성장유형,서울,서울특별시 강서구,정보처리S/W,응용 소프트웨어 개발 및 공급업,AI 어플리케이션,20260210,20290209,벤처기업확인기관,신규
655,우쥬라익썸 주식회사 농업회사법인,,김**,혁신성장유형,충남,충청남도 천안시,제조업,탁주 및 약주 제조업,"탁주 및 약주, 액상차",20260210,20290209,벤처기업확인기관,신규
656,주식회사 대양환경기술,,김**,혁신성장유형,서울,서울특별시 구로구,제조업,기타 물품 취급장비 제조업,석탄 조연제 및 친환경 청정 성형탄,20260210,20290209,벤처기업확인기관,신규
657,(주)쓰리워터,,최**,혁신성장유형,경기,경기도 화성시,제조업,액체 여과기 제조업,금속탱크 및 저장용기,20260210,20290209,벤처기업확인기관,신규
658,가스테크(주),,"손**,조**",혁신성장유형,경기,경기도 평택시,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,"질소발생기,가스발생기 , 이산화탄소정제기",20260210,20290209,벤처기업확인기관,신규
659,주식회사 원탑테크,,안**,혁신성장유형,경기,경기도 부천시,제조업,방송장비 제조업,"배터리팩 , 전기차 충전기 외함, 통신장비",20260210,20290209,벤처기업확인기관,신규
660,주식회사 이앤비이,,이**,혁신성장유형,경기,경기도 안산시,제조업,액체 여과기 제조업,양식장 순환여과시스템,20260210,20290209,벤처기업확인기관,신규
661,(주)옐로우박스,,장**,혁신성장유형,경남,경상남도 창원시,정보처리S/W,응용 소프트웨어 개발 및 공급업,교육훈련용 시뮬레이터,20260210,20290209,벤처기업확인기관,신규
662,(주)제이에이치 모빌리티,,조**,혁신성장유형,경기,경기도 화성시,제조업,자동차 재제조 부품 제조업,자동차 부품 제조 및 배터리 개발,20260210,20290209,벤처기업확인기관,신규
663,주식회사 스토어스토리 (Store Story Inc.),,곽**,혁신성장유형,서울,서울특별시 영등포구,정보처리S/W,응용 소프트웨어 개발 및 공급업,소상공인을 위한 AI Agent,20260210,20290209,벤처기업확인기관,신규
664,주식회사 여물,,윤**,혁신성장유형,대구,대구광역시 북구,제조업,육류 포장육 및 냉동육 가공업 (가금류 제외),"소고기 부분육, 갈비살, 안창살 등",20260210,20290209,벤처기업확인기관,신규
665,바이오스테이트 주식회사,,방**,혁신성장유형,대전,대전광역시 유성구,제조업,건강기능식품 제조업,건강기능식품,20260210,20290209,벤처기업확인기관,신규
666,주식회사 포인트솔루션,,여**,벤처투자유형,인천,인천광역시 연수구,제조업,금속탱크 및 저장용기 제조업,데이터센터용 버퍼탱크 및 분배기,20260210,20290209,벤처기업확인기관,신규
667,주식회사 리프데이터솔루션,,박**,벤처투자유형,서울,서울특별시 용산구,정보처리S/W,컴퓨터 프로그래밍 서비스업,"SW플랫폼, 그룹웨어, ERP 솔루션, 웹플랫폼, 앱 등",20260210,20290209,벤처기업확인기관,신규
668,주식회사 그리너랩(GreenerLab Inc.),,손**,벤처투자유형,광주,광주광역시 북구,정보처리S/W,데이터베이스 및 온라인정보 제공업,트리에이드(TreeAiD) : 수목관리용 소프트웨어,20260210,20290209,벤처기업확인기관,신규
669,(주)인플루러닝,,홍**,혁신성장유형,부산,부산광역시 북구,정보처리S/W,응용 소프트웨어 개발 및 공급업,AI 영어 교육 서비스,20260205,20290204,벤처기업확인기관,신규
670,(주)상일이엔씨,,이**,혁신성장유형,경기,경기 광명시,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,"엘리베이터 손끼임 방지 장치, 도어 잠금장치",20260205,20290204,벤처기업확인기관,신규
671,주식회사 서울승강기테크,,"정**,윤**",혁신성장유형,인천,인천광역시 연수구,제조업,기타 물품 취급장비 제조업,"에스컬레이터 구동기 베이스, UV-C 살균소독장치",20260205,20290204,벤처기업확인기관,신규
672,주식회사 컬츠업,,노**,혁신성장유형,서울,서울특별시 용산구,정보처리S/W,응용 소프트웨어 개발 및 공급업,소프트웨어,20260205,20290204,벤처기업확인기관,신규
673,주식회사 페이턴티,,이**,혁신성장유형,부산,부산 해운대구,정보처리S/W,응용 소프트웨어 개발 및 공급업,AI 서비스,20260205,20290204,벤처기업확인기관,신규
674,주식회사 메이엘,,이**,혁신성장유형,서울,서울 강서구,제조업,기타 비알코올 음료 제조업,"기타 비알코올 음료 제조업,기타 곡물 가공품 제조업,곡물, 곡분 및 가축 사료 소매업,음료 소매업,전자상거래 소매업,기타 통신 판매업,전자상거래 소매 중개업",20260205,20290204,벤처기업확인기관,신규
675,주식회사 파프롬지니어스,,김**,혁신성장유형,서울,서울특별시 강남구,정보처리S/W,응용 소프트웨어 개발 및 공급업,법률 자동화 프로그램 및 서비스 개발,20260204,20290203,벤처기업확인기관,신규
676,제이씨메디(주),,김**,혁신성장유형,부산,부산광역시 강서구,제조업,기타 신발 제조업,골프화용 아웃솔 등,20260204,20290203,벤처기업확인기관,신규
677,주식회사 한솔알엠씨,,김**,혁신성장유형,충남,충청남도 공주시,제조업,레미콘 제조업,레미콘,20260204,20290203,벤처기업확인기관,신규
678,주식회사 뉴로저니,,이**,혁신성장유형,서울,서울특별시 관악구,정보처리S/W,응용 소프트웨어 개발 및 공급업,감성 인공지능 기반 고객 반응 솔루션,20260204,20290203,벤처기업확인기관,신규
679,로듀(RODU),,한**,연구개발유형,경기,경기도 안산시,제조업,산업용 로봇 제조업,"로봇, 제어기, 컨트롤러",20260204,20290203,벤처기업확인기관,신규
680,엠케이이앤에스 주식회사,,송**,혁신성장유형,대구,대구광역시 남구,연구개발서비스,전기ㆍ전자공학 연구개발업,"전기기기 해석 설계 컨설팅, 전기기기 해석 설계 프로그램, 전동기 특성평가장비",20260204,20290203,벤처기업확인기관,신규
681,주식회사 이아이피그리드,,이**,혁신성장유형,서울,서울특별시 강남구,연구개발서비스,자연과학 및 공학 융합 연구개발업,소프트웨어(커뮤니티 에너지 관리 솔루션 패키지),20260204,20290203,벤처기업확인기관,신규
682,주식회사 아카이버스,,"김**,이**",혁신성장유형,서울,서울특별시 서초구,정보처리S/W,응용 소프트웨어 개발 및 공급업,비전언어모델 기반의 기록물 디지털화 공정 자동화 솔루션,20260204,20290203,벤처기업확인기관,신규
683,주식회사 비더린,,김**,혁신성장유형,서울,서울특별시 송파구,정보처리S/W,응용 소프트웨어 개발 및 공급업,소프트웨어,20260204,20290203,벤처기업확인기관,신규
684,(주)이푸,,김**,혁신성장유형,인천,인천광역시 서구,제조업,설치용 및 위생용 플라스틱제품 제조업,"폐아이겔 원료 고체 방향제, 기능성(필터,LED) 샤워기, 주방용 수전, 세면대 수전, 비타민 필터, 항균,녹물 필터",20260204,20290203,벤처기업확인기관,신규
685,주식회사 아트앤테크,,이**,혁신성장유형,경기,경기도 김포시,제조업,육상 금속 골조 구조재 제조업,나선형 계단  및 레이저컷팅,20260204,20290203,벤처기업확인기관,신규
686,주식회사 루퍼스,,최**,혁신성장유형,경기,경기도 용인시,정보처리S/W,응용 소프트웨어 개발 및 공급업,AI 기반 콘텐츠 플랫폼,20260204,20290203,벤처기업확인기관,신규
687,주식회사 노드크루,,권**,혁신성장유형,서울,서울특별시 도봉구,정보처리S/W,응용 소프트웨어 개발 및 공급업,"플랫폼 서비스 개발,공급,IT,코딩 교육,콘텐츠 제작,판매/스터디 모집,관리,원데이 클래스,커뮤니티 운영",20260204,20290203,벤처기업확인기관,신규
688,(주)아노스,,정**,혁신성장유형,충남,충남 아산시,제조업,기타 건축용 비내화 요업제품 제조업,"건축기자재(화강석재판석,석재보도블록),차음재 제조",20260204,20290203,벤처기업확인기관,신규
689,세움,,김**,혁신성장유형,경기,경기도 파주시,제조업,"금속 문, 창, 셔터 및 관련제품 제조업",방화문,20260204,20290203,벤처기업확인기관,신규
690,주식회사케이투피,,김**,혁신성장유형,경기,경기도 화성시,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,외주 가공 및 임가공업,20260204,20290203,벤처기업확인기관,신규
691,세미원 주식회사,,임**,혁신성장유형,충남,충남 아산시,제조업,메모리용 전자집적회로 제조업,반도체검사장비 전자부품,20260204,20290203,벤처기업확인기관,신규
692,(주)투에스푸드,,이**,혁신성장유형,경기,경기도 광주시,제조업,육류 포장육 및 냉동육 가공업 (가금류 제외),포장육,20260204,20290203,벤처기업확인기관,신규
693,주식회사 요양의정석,,조**,벤처투자유형,서울,서울특별시 강남구,정보처리S/W,데이터베이스 및 온라인정보 제공업,모바일 어플리케이션,20260204,20290203,벤처기업확인기관,신규
694,주식회사 에이브,,이**,혁신성장유형,서울,서울특별시 강남구,제조업,화장품 제조업,화장품,20260204,20290203,벤처기업확인기관,신규
695,주식회사 세븐미닛,,"김**,김**",혁신성장유형,경기,경기도 남양주시,정보처리S/W,응용 소프트웨어 개발 및 공급업,AI 스트리밍,20260204,20290203,벤처기업확인기관,신규
696,오가닉디노 주식회사,,이**,혁신성장유형,경기,경기도 구리시,제조업,기타 비알코올 음료 제조업,과채주스,20260204,20290203,벤처기업확인기관,신규
697,주식회사 드래그앤드롭,,최**,혁신성장유형,서울,서울특별시 강남구,정보처리S/W,응용 소프트웨어 개발 및 공급업,IT서비스,20260204,20290203,벤처기업확인기관,신규
698,주식회사 수주에이아이,,이**,혁신성장유형,대전,대전광역시 유성구,정보처리S/W,그 외 기타 정보 서비스업,수주 전문 AI 에이전트 서비스,20260204,20290203,벤처기업확인기관,신규
699,주식회사 세이브유어뮤직,,정**,혁신성장유형,서울,서울 중구,정보처리S/W,포털 및 기타 인터넷 정보매개 서비스업,포털 및 기타 인터넷 정보 매개 서비스업,20260204,20290203,벤처기업확인기관,신규
700,유한회사 대도,,권**,혁신성장유형,전북,전라북도 정읍시,제조업,농업 및 임업용 기계 제조업,사료배합기,20260204,20290203,벤처기업확인기관,신규
701,주식회사 올더타임,,조**,연구개발유형,광주,광주광역시 동구,정보처리S/W,데이터베이스 및 온라인정보 제공업,블루투스 스마트 트래커,20260204,20290203,벤처기업확인기관,신규
702,쌤뉴젠,,송**,혁신성장유형,충남,충청남도 천안시,제조업,반도체 제조용 기계 제조업,"스팀 제너레이터, 프럭스 세정 장치",20260204,20290203,벤처기업확인기관,신규
703,주식회사 데이에듀,,김**,혁신성장유형,서울,서울특별시 용산구,제조업,그 외 기타 전자부품 제조업,인공지능 기술을 활용한 모듈형 교육 온디바이스,20260204,20290203,벤처기업확인기관,신규
704,주식회사 웰스테크,,박**,혁신성장유형,경기,경기도 하남시,제조업,액체 여과기 제조업,환경기자재 제조 액체여과기제조 약품투입기 제조,20260204,20290203,벤처기업확인기관,신규
705,아르마도워케이션,,정**,혁신성장유형,인천,인천광역시 서구,정보처리S/W,포털 및 기타 인터넷 정보매개 서비스업,플랫폼,20260204,20290203,벤처기업확인기관,신규
706,주식회사 엑스에이아이코리아,,김**,혁신성장유형,경기,경기도 성남시,정보처리S/W,컴퓨터 프로그래밍 서비스업,회계·세무 업무 자동화를 위한 AI 기반 소프트웨어,20260204,20290203,벤처기업확인기관,신규
707,주식회사 티엔엠,,"송**,김**",연구개발유형,경남,경상남도 김해시,제조업,그 외 기타 특수목적용 기계 제조업,TBM장비(Tunnel boring machine),20260204,20290203,벤처기업확인기관,신규
708,주식회사 유코,,이**,연구개발유형,서울,서울특별시 서초구,정보처리S/W,응용 소프트웨어 개발 및 공급업,데이터분석,20260204,20290203,벤처기업확인기관,신규
709,주식회사 벨바,,이**,혁신성장유형,경기,경기 용인시,제조업,화장품 제조업,"화장품 제조업,전자상거래 소매업",20260204,20290203,벤처기업확인기관,신규
710,주식회사 더유아,,윤**,혁신성장유형,경기,경기도 의정부시,제조업,유아용 의복 제조업,유아용 단체복,20260204,20290203,벤처기업확인기관,신규
711,주식회사 메디체리,,조**,혁신성장유형,인천,인천광역시 연수구,정보처리S/W,응용 소프트웨어 개발 및 공급업,AI 의학 학습 디지털 콘텐츠 어플리케이션,20260204,20290203,벤처기업확인기관,신규
712,워크온 주식회사,,"이**,김**",혁신성장유형,경기,경기도 안산시,정보처리S/W,응용 소프트웨어 개발 및 공급업,AI 에이전트 서비스,20260204,20290203,벤처기업확인기관,신규
713,주식회사 투템디자인,,김**,혁신성장유형,경기,경기도 파주시,제조업,기타 목재가구 제조업,가구,20260204,20290203,벤처기업확인기관,신규
714,주식회사 데이터타운,,"임**,이**",혁신성장유형,서울,서울특별시 중구,정보처리S/W,데이터베이스 및 온라인정보 제공업,"인공지능 프로그램, 모바일 애플리케이션, 데이텉베이스",20260204,20290203,벤처기업확인기관,신규
715,덕산금속(주),,전**,혁신성장유형,경기,경기도 김포시,제조업,"탭, 밸브 및 유사장치 제조업","수전밸브, 가스용 밸브",20260204,20290203,벤처기업확인기관,신규
716,주식회사 디지로그크로스보더랩,,심**,벤처투자유형,부산,부산광역시 강서구,정보처리S/W,응용 소프트웨어 개발 및 공급업,응용 소프트웨어,20260204,20290203,벤처기업확인기관,신규
717,(주) 떼루아본,,김**,벤처투자유형,충북,충청북도 청주시,제조업,화장품 제조업,기초화장품,20260204,20290203,벤처기업확인기관,신규
